2012-11-06,1A01,Kralovic,Lisa,,3
2012-11-06,1A02,Wright-Smith,Vickey A.,,2
2012-11-06,1A03,Swank,Steve,,1
2012-11-06,1A04,Aquiline,Laina,,2
2012-11-06,1A05,Holmes,Kevin,,1
2012-11-06,1A06,Flynn,Patrick W.,,1
2012-11-06,1A07,Boisvert,Thomas,,2
2012-11-06,1A08,Boese,Kent C.,,2
2012-11-06,1A09,Holmes,Bobby,,2
2012-11-06,1A10,Cimino,Anthony,,1
2012-11-06,1A11,Wade,Dotti Love,,3
2012-11-06,1A12,Gilliam,Rosalind M.,,1
2012-11-06,1B01,Morgan,Marc,,1
2012-11-06,1B02,Leffler,Jeremy C.,,1
2012-11-06,1B03,Muhammad,Sedrick,,3
2012-11-06,1B04,Thomas,Deborah R.,,4
2012-11-06,1B05,Reinoso,Ricardo A.,,1
2012-11-06,1B06,Forester,Dyana,,1
2012-11-06,1B07,Lopez,Juan E.,,3
2012-11-06,1B08,Washington,Emily,,1
2012-11-06,1B09,Turner,James A.,,1
2012-11-06,1B10,Norman,Tony,,2
2012-11-06,1B11,Holness,E. Gail Anderson,,3
2012-11-06,1B12,Jilani,Zahra,,1
2012-11-06,1C01,Hart,Brian,,1
2012-11-06,1C02,Davis,Martis "Marty",,2
2012-11-06,1C03,Guthrie,Ted,,1
2012-11-06,1C04,Mossi,Gabriela,,2
2012-11-06,1C05,Dehbozorgi,Elham,,1
2012-11-06,1C06,Simpson,William (Billy),,1
2012-11-06,1C07,Reynolds,Wilson,,4
2012-11-06,1C08,Rock,Jimmy R.,,1
2012-11-06,1D01,Castillo,Yasmin Romero,,2
2012-11-06,1D02,Hoey,Adam,,1
2012-11-06,1D03,McKay,Jack,,6
2012-11-06,1D04,Greiner,Phil,,1
2012-11-06,1D05,Terrell,China,,2
2012-11-06,2A01,Kennedy,Patrick,,1
2012-11-06,2A02,Coder,Rebecca,,3
2012-11-06,2A03,Corson,Asher,,4
2012-11-06,2A04,Irizarry,Armando,,3
2012-11-06,2A05,Galka,Graham Michael,,1
2012-11-06,2A06,Harmon,Florence,,3
2012-11-06,2A07,Carnes,Jackson,,1
2012-11-06,2A08,Sacco,Peter E.,,1
2012-11-06,2B01,Feldstein,Mike,,1
2012-11-06,2B02,O'Connor,Kevin,,2
2012-11-06,2B03,Maltz,Stephanie,,1
2012-11-06,2B04,Putta,Kishan,,1
2012-11-06,2B06,Silverstein,Mike,,4
2012-11-06,2B07,Dwyer,Leo,,1
2012-11-06,2B08,Stephens,Will,,3
2012-11-06,2B09,Smith,Noah,,1
2012-11-06,2C01,Tinpe,John,,1
2012-11-06,2C02,Closter,Harold A.,,1
2012-11-06,2C03,Wilsey,Kevin,,1
2012-11-06,2D01,Bender,David R.,,2
2012-11-06,2D02,Lamar,Eric,,2
2012-11-06,2E01,Solomon,Ed,,5
2012-11-06,2E02,Lewis,Ron,,4
2012-11-06,2E03,Jones,Jeffrey,,2
2012-11-06,2E04,Cassey,Craig,Jr,1
2012-11-06,2E05,Starrels,Bill,,7
2012-11-06,2E06,Birch,Tom,,5
2012-11-06,2E07,Eason,Charles F.,Jr,5
2012-11-06,2E08,Prindiville,Peter,,1
2012-11-06,2F01,Lallas,Peter,,1
2012-11-06,2F02,Cain,Walt,,1
2012-11-06,2F03,Linn,Chris,,1
2012-11-06,2F04,Fanning,John,,3
2012-11-06,2F05,Lamare,Jim,,1
2012-11-06,2F06,Melcher,Greg,,1
2012-11-06,2F07,Raymond,Matt,,3
2012-11-06,2F08,Connolly,Matthew,,1
2012-11-06,3B01,Fiorillo,Joe,,1
2012-11-06,3B02,Blumenthal,Jackie,,2
2012-11-06,3B03,Fulwood,Charles Cinque,,1
2012-11-06,3B04,Young,Mary C.,,1
2012-11-06,3B05,Cohen,Brian A.,,4
2012-11-06,3C01,Reba,Lee Brian,,3
2012-11-06,3C02,Bole,Gwendolyn,,1
2012-11-06,3C03,Kaliel,Jeffrey,,1
2012-11-06,3C04,Steacy,Richard,,1
2012-11-06,3C05,Siegel,Margaret A.,,1
2012-11-06,3C06,Roller,Carl,,1
2012-11-06,3C07,Silveira,Victor,,2
2012-11-06,3C08,May,Catherine,,4
2012-11-06,3C09,MacWood,Nancy J.,,7
2012-11-06,3D01,Slowinski,Kent,,2
2012-11-06,3D02,Smith,Tom,,4
2012-11-06,3D03,Wells,Nan S.,,4
2012-11-06,3D04,Ross,Stu,,3
2012-11-06,3D05,Thomas,W. Philip,,1
2012-11-06,3D06,Pagano,Priscilla "Penny",,1
2012-11-06,3D07,Slatko,Rory,,1
2012-11-06,3D08,Gold,Michael,,1
2012-11-06,3D09,Trotter,Gayle,,1
2012-11-06,3D10,Wisniewski,Joe,,1
2012-11-06,3E01,Haile,Elizabeth S.,,1
2012-11-06,3E02,Frumin,Matthew,,3
2012-11-06,3E03,Bender,Jonathan,,3
2012-11-06,3E04,Quinn,Tom,,2
2012-11-06,3E05,Serebin,Sam J.,,3
2012-11-06,3F01,Tope,Adam Scott,,2
2012-11-06,3F02,Perry,Karen Lee,,10
2012-11-06,3F03,Ray,Mary Beth,,2
2012-11-06,3F04,Gresham,Sally W.,,2
2012-11-06,3F05,Priniotakis,Manolis R.,,1
2012-11-06,3F06,Lowell,David Solorzano,,1
2012-11-06,3F07,Summersgill,Bob,,2
2012-11-06,3G01,Cook,Carolyn "Callie",,3
2012-11-06,3G02,Thompson,Gary,,4
2012-11-06,3G03,Speck,Randy,,1
2012-11-06,3G04,Beach,Allen E.,,17
2012-11-06,3G05,Engel,David,,3
2012-11-06,3G06,McCarthy,Jim,,5
2012-11-06,3G07,Griffin,Henry,,3
2012-11-06,4A01,Anderson,Acqunetta,,1
2012-11-06,4A02,Toliver,Dwayne M.,,3
2012-11-06,4A03,Whatley,Stephen A.,,7
2012-11-06,4A04,Bennett,Marian C.,,4
2012-11-06,4A06,Braxton,Karrye Y.,,1
2012-11-06,4A07,Wilson,Dave,,4
2012-11-06,4A08,Black,Gale B.,,3
2012-11-06,4B01,Green,Sara,,5
2012-11-06,4B02,Wheeler,Faith E.,,6
2012-11-06,4B03,Grant,Frederick D.,,3
2012-11-06,4B04,Parks,Brenda Dawson,,1
2012-11-06,4B05,Speaks,Brenda,,3
2012-11-06,4B06,Austin,Ronald (Ron),,2
2012-11-06,4B07,Jones,Judi,,6
2012-11-06,4B08,Jefferson,Yvonne A.,,3
2012-11-06,4B09,Sloan,Douglass,,6
2012-11-06,4C01,Yates,Michael,,3
2012-11-06,4C02,Myers,Janet M.,,3
2012-11-06,4C03,Standish,Jeff,,1
2012-11-06,4C04,Williams,Rickey,Jr,1
2012-11-06,4C05,Vaughan,Joseph M.,,3
2012-11-06,4C06,Galloway,Vann-Di,,1
2012-11-06,4C07,Anthony,Shanel O.,,4
2012-11-06,4C08,Jones,Timothy A.,,9
2012-11-06,4C09,Hartman,Zachary,,1
2012-11-06,4C10,Waldt,Evan,,1
2012-11-06,4D01,Akins,Lamont,,2
2012-11-06,4D02,Bowser,Renee L.,,4
2012-11-06,4D03,Colbert,Lisa,,2
2012-11-06,4D04,Brockington,Donna,,5
2012-11-06,4D05,Newsome,Valikia R.,,1
2012-11-06,4D06,Quirk,Bill,,3
2012-11-06,5A01,Wilds,Frank,,2
2012-11-06,5A02,Williams,Michael,,1
2012-11-06,5A03,Jordan,Adrian,,1
2012-11-06,5A05,Edwards,Ronnie,,1
2012-11-06,5A06,Ransom,Albrette "Gigi",,1
2012-11-06,5A07,Washington,Sandra,,5
2012-11-06,5A08,Alston,Angel Sherri,,4
2012-11-06,5B01,Smith,Shirley Rivens,,4
2012-11-06,5B02,Higgins,Ursula,,1
2012-11-06,5B03,Bridge,Tiffany,,1
2012-11-06,5B04,Steptoe,Carolyn C.,,3
2012-11-06,5B05,Jones,Jenese L.,,1
2012-11-06,5C01,Russell,Antonette E.,,1
2012-11-06,5C02,Butler,Karla,,1
2012-11-06,5C03,King,Bob,,1
2012-11-06,5C04,Manning,Jacqueline,,3
2012-11-06,5C05,James,Regina,,7
2012-11-06,5C06,Thomas-Barnes,Majorie,,1
2012-11-06,5C07,Teadway,Nolan,,1
2012-11-06,5D01,Lewis,Peta-Gay S.,,1
2012-11-06,5D02,Dumas,Vonetta,,1
2012-11-06,5D03,Henderson,India A.,,4
2012-11-06,5D04,Blacknell,Bernice S.,,2
2012-11-06,5D05,Henderson,Kathy,,5
2012-11-06,5D06,Laskaris,Tina,,3
2012-11-06,5D07,Hooper,David,,4
2012-11-06,5E01,Smith-Steiner,Debbie,,5
2012-11-06,5E02,Davis,Christy 'Love',,1
2012-11-06,5E03,Clark,Tim,,2
2012-11-06,5E04,Pinkney,Sylvia M.,,3
2012-11-06,5E05,Robinson-Paul,Joyce,,5
2012-11-06,5E06,Quinn,Teri Janine,,1
2012-11-06,5E07,Foster,Wanda B.,,1
2012-11-06,5E08,Mueller,Mark,,1
2012-11-06,5E09,Barnes,C. Dianne,,1
2012-11-06,5E10,Blanks,Angela C.,,1
2012-11-06,6A01,Mahmud,J. Omar,,1
2012-11-06,6A02,Nauden,Gloria,,1
2012-11-06,6A03,Holmes,David,,4
2012-11-06,6A04,Alberti,Nick,,6
2012-11-06,6A05,Williams,Jay,,1
2012-11-06,6A06,Hysell,Andrew J.,,2
2012-11-06,6A07,Phillips-Gilbert,Sondra,,1
2012-11-06,6A08,Ward,Calvin,,1
2012-11-06,6B01,Garrison,Dave,,4
2012-11-06,6B02,Frishberg,Ivan,,2
2012-11-06,6B03,Peisch,Philip,,1
2012-11-06,6B04,Oldenburg,Kirsten,,3
2012-11-06,6B05,Pate,Brian,,2
2012-11-06,6B06,Opkins,Nichole,,1
2012-11-06,6B07,Loveland,Sara,,1
2012-11-06,6B08,Jayaraman,Chander,,1
2012-11-06,6B09,Flahaven,Brian,,2
2012-11-06,6B10,Campbell,Francis M.,,6
2012-11-06,6C01,Schiffman,Daniele M.,,1
2012-11-06,6C02,Wirt,Karen J.,,3
2012-11-06,6C03,Price,John Scott,,3
2012-11-06,6C04,Eckenwiler,Mark,,1
2012-11-06,6C05,Kazmierczak,Mark,,1
2012-11-06,6C06,Goodman,Tony T.,,1
2012-11-06,6D01,Hopkins,Donna L.,,1
2012-11-06,6D02,Kaminski,Ed,,1
2012-11-06,6D03,McBee,Ron,,3
2012-11-06,6D04,Litsky,Andy,,8
2012-11-06,6D05,Moffatt,Roger,,9
2012-11-06,6D06,Hamilton,Rhonda N.,,4
2012-11-06,6D07,Garber,David,,6
2012-11-06,6E01,Padro,Alexander "Alex",,7
2012-11-06,6E02,Chapple,Kevin L.,,4
2012-11-06,6E03,Wiggins,Frank S.,,1
2012-11-06,6E04,Nigro,Rachelle P.,,2
2012-11-06,6E05,Maceda,Marge,,1
2012-11-06,6E06,Dixon,Mark,,6
2012-11-06,6E07,Judd,Alfreda S.,,1
2012-11-06,7B01,Howard-Chittams,Patricia,,1
2012-11-06,7B02,Williams,Zina D.,,3
2012-11-06,7B03,Butler,Gary E.,,1
2012-11-06,7B04,Hammond,Phillip J.,,4
2012-11-06,7B05,Marlin,Robin Hammond,,4
2012-11-06,7B06,Jordan,Robert A.,,2
2012-11-06,7B07,Richards,Robert T.,,5
2012-11-06,7C01,Malloy,Patricia A.,,5
2012-11-06,7C02,Stewart,Gregori,,1
2012-11-06,7C03,Woods,Catherine A.,,6
2012-11-06,7C04,Garcia,Walter J.,II,1
2012-11-06,7C05,Gaffney,Mary L.,,10
2012-11-06,7C06,Lawson,Sherrie,,1
2012-11-06,7C07,Holmes,Antawan,,1
2012-11-06,7D01,White,Lisa,,2
2012-11-06,7D03,Muhammad,Donna R.,,1
2012-11-06,7D04,Prue,Jo-Anne,,1
2012-11-06,7D05,Hazel,Janis D.,,1
2012-11-06,7D06,Black,Ericka S.,,1
2012-11-06,7D07,Woods,Willie Henry,Jr,3
2012-11-06,7E01,Browne,George B.,Jr,4
2012-11-06,7E02,Green,Linda S.,,3
2012-11-06,7E03,Hamlett,Rosa A.,,5
2012-11-06,7E04,Jackson,Mary D.,,13
2012-11-06,7E05,McVea,Jean M.,,2
2012-11-06,7E06,Lockett,Joseph Wayne,,3
2012-11-06,7E07,Felder,Wendell,,1
2012-11-06,7F01,Washington,Evie L.,,1
2012-11-06,7F02,Thompson,Eboni-Rose,,2
2012-11-06,7F03,Carr,Sheila M. Carson,,11
2012-11-06,7F04,Exum,Charlene,,5
2012-11-06,7F05,Settles,Karen,,11
2012-11-06,7F06,Traver,Elizabeth H.,,4
2012-11-06,8A01,Muhammad,Holly,,2
2012-11-06,8A02,Clark,Barbara J.,,6
2012-11-06,8A03,Moore,L. Yvonne (L.Y.),,3
2012-11-06,8A04,Smith,Moses,,2
2012-11-06,8A05,Wilson,Charles E.,,5
2012-11-06,8A06,Graham,Kendall J.,,1
2012-11-06,8A07,Williams,Natalie,,1
2012-11-06,8B01,Watson,Khadijah,,2
2012-11-06,8B02,Gaston,Darrell Danny,,3
2012-11-06,8B03,Wilson,Charles H.,,7
2012-11-06,8B04,Lorenzo,Anthony,,1
2012-11-06,8B05,Scippio,Betty,,1
2012-11-06,8B06,Hawkins,Mitchell G.,III,4
2012-11-06,8B07,Thorne,Louise,,2
2012-11-06,8C02,Fremling,Alicia,,1
2012-11-06,8C03,Cuthbert,Mary J.,,13
2012-11-06,8C05,Logan,Lloyd T.,,2
2012-11-06,8C07,Palmer,Pho,,1
2012-11-06,8D01,Carmon,Patricia Pat,,4
2012-11-06,8D02,Henderson,Olivia L.,,3
2012-11-06,8D03,Jordan,Absalom,,7
2012-11-06,8D04,Lee,M. Jay,,1
2012-11-06,8D06,Dyson,Thea,,2
2012-11-06,8D07,Jones,Theresa H.,,4
2012-11-06,8E01,Brown,Barbara,,4
2012-11-06,8E02,Muhammad,Anthony,,9
2012-11-06,8E04,Crawford,Sharece,,1
2012-11-06,8E06,Armstead,Karlene (K.),,2
2012-11-06,8E07,Williams,Sandra (SV),,5
